acceptance,受け入れ,ækˈsɛptəns
basement,地下,ˈbeɪsmənt
behalf,味方；利益；(on ~ of A)Aの代理で,bɪˈhæf
beneficial,有益,ˌbɛnəˈfɪʃəl
bicycle,自転車,ˈbaɪsɪkəl
biography,伝記；経歴,baɪˈɑgrəfi
biology,生物学,baɪˈɑləʤi
bonus,ボーナス；特別手当て；良いこと,ˈboʊnəs
broker,仲介人；査定売却人；取り決める；仲介する,ˈbroʊkər
bulb,電球；球根；球根状のもの,bʌlb
bulk,(the ~ of A)Aの大部分；大きさ；かさ；大量の；大きくなる,bʌlk
cab,タクシー,kæb
cabin,小屋；船室；小屋に泊める,ˈkæbən
calendar,カレンダー,ˈkæləndər
campus,構内；校庭；大学の；学生の；大学,ˈkæmpəs
cargo,貨物,ˈkɑrˌgoʊ
cater,料理をまかなう,ˈkeɪtər
caterer,仕出し屋,ˈkeɪtərər
caution,注意,ˈkɑʃən
cautious,"注意深い,用心深い；慎重な",ˈkɔʃəs
celebrity,有名人,səˈlɛbrɪti
certificate,証明書,sərˈtɪfɪkət
certification,認証,ˌsɜrtəfəˈkeɪʃən
certify,証明する,ˈsɜrtəˌfaɪ
chef,料理長；料理人；料理をする人,ʃɛf
chemistry,化学,ˈkɛməstri
chronic,慢性的,ˈkrɑnɪk
cinema,映画館；映画,ˈsɪnəmə
classify,分類,ˈklæsəˌfaɪ
clerk,店員,klɜrk
click,クリック；カチッと音を立てる；仲良くなる,klɪk
closure,閉鎖,ˈkloʊʒər
commute,通勤する；交換する；変更する；通勤；通学,kəmˈjut
commuter,通勤[通学]者の；近距離運行の；遠距離の,kəmˈjutər
compact,小型の；密集した；簡潔な,ˈkɑmpækt
compatible,両用の；互換性のある；うまがあう,kəmˈpætəbəl
compile,編集する；まとめる；機械語に翻訳する,kəmˈpaɪl
compliance,コンプライアンス；法令遵守；追従,kəmˈplaɪəns
comply,従う；応じる；合致する,kəmˈplaɪ
comprehension,"理解力, 理解力の, 理解力を測る",ˌkɑmpriˈhɛnʃən
confidential,機密,ˌkɑnfəˈdɛnʃəl
conform,快適さ；慰め；慰める；元気づける,kənˈfɔrm
congratulate,祝う；称賛する；喜ぶ,kənˈgræʧəˌleɪt
congratulation,祝い,kənˌgræʧəˈleɪʃən
contrary,反対,ˈkɑntrɛri
convenience,便利さ；利便性；便利なもの,kənˈvinjəns
convenient,便利,kənˈvinjənt
conveniently,便利に,kənˈvinjəntli
copyright,著作権,ˈkɑpiˌraɪt
cord,コード；縄；ひもで縛る,kɔrd
cordless,コードのない,ˈkɔrdləs
costume,衣装；仮装；服装；衣装を着せる,kɑˈstum
courtesy,礼儀,ˈkɜrtəsi
deadline,締め切り,ˈdɛˌdlaɪn
deduct,差し引く；控除する,dɪˈdʌkt
deduction,推論；差し引き；控除,dɪˈdʌkʃən
defect,欠陥,ˈdifɛkt
defective,欠陥のある；不完全な,dɪˈfɛktɪv
delicate,繊細,ˈdɛləkət
depart,出発する；それる；辞任する；逝く,dɪˈpɑrt
departure,出発；立ち去ること；辞職；逸脱,dɪˈpɑrʧər
dependence,頼ること；依存,dɪˈpɛndəns
destination,"目的地, 到達地, 行き先；最終目標",ˌdɛstəˈneɪʃən
detach,デタッチ,dɪˈtæʧ
deteriorate,悪化する；悪くなる；低下する,dɪˈtɪriəˌreɪt
diagnose,診断,ˌdaɪəgˈnoʊs
diagram,図；図式；運行計画表；図で示す,ˈdaɪəˌgræm
dial,文字盤；調整つまみ；ダイヤルを回す,ˈdaɪəl
diamond,ダイヤモンド,ˈdaɪmənd
discard,廃棄,dɪˈskɑrd
dispatch,ディスパッチ；公文書；派遣する；発送する,dɪˈspæʧ
distract,そらす；紛らわせる；散らす；気晴らしをする,dɪˈstrækt
distraction,気晴らし,dɪˈstrækʃən
dividend,配当,ˈdɪvɪˌdɛnd
dock,船渠；港湾施設；波止場；ドックに入れる,dɑk
documentary,記録作品；事実を記録した；公文書の,ˌdɑkjəˈmɛntəri
dull,鈍い,dʌl
duration,期間,ˈdʊˈreɪʃən
dynamic,動的,daɪˈnæmɪk
elegant,優雅な；優美な；上品な；簡潔な,ˈɛləgənt
eligible,適格,ˈɛləʤəbəl
embassy,大使館,ˈɛmbəsi
enclose,同封,ɪnˈkloʊz
enroll,登録する；入学する；名簿に記入する,ɛnˈroʊl
enrollment,入会,ɛnˈroʊlmənt
entrepreneur,企業家,ˌɑntrəprəˈnɜr
escort,護衛,ˈɛskɔrt
ethics,倫理,ˈɛθɪks
evacuate,避難,ɪˈvækjəˌeɪt
evenly,均等に,ˈivənli
exemption,免除,ɪgˈzɛmpʃən
exit,出口,ˈɛgzɪt
exotic,異国風な；外来の；外国の,ɪgˈzɑtɪk
expertise,熟練,ˌɛkspərˈtiz
fare,運賃,fɛr
fax,ファックス,fæks
ferry,連絡船；渡船場；渡す；輸送する；空輸する,ˈfɛri
fiscal,年度,ˈfɪskəl
flaw,"欠陥, 不備, 瑕疵；欠点, 短所；傷,ひび；を欠点のあるものにする; に傷をつける",flɔ
fleet,艦隊,flit
flour,小麦粉,ˈflaʊər
fog,霧,fɑg
forbid,禁じる；差し止める；許さない,fərˈbɪd
fork,フォーク；分岐点；支流；分岐する,fɔrk
forum,フォーラム；公開討論会,ˈfɔrəm
franchise,特権；営業販売権；選手権；参政権,ˈfrænˌʧaɪz
furnish,備え付ける；用意する,ˈfɜrnɪʃ
gallon,ガロン；(~s of A)多量のA,ˈgælən
generic,属の；一般的な；商標登録されていない,ʤəˈnɛrɪk
genre,ジャンル；種類；型；様式,ˈʒɑnrə
glove,手袋；手袋をはめる；グローブで捕る,glʌv
gossip,うわさ話；陰口；雑談；うわさ話をする,ˈgɑsəp
graph,図表；グラフ化する,græf
grill,グリル；焼き網；あみ焼きにする；詰問する,grɪl
hardware,ハードウェア,ˈhɑrˌdwɛr
helmet,ヘルメット,ˈhɛlmət
hurricane,ハリケーン,ˈhɜrəˌkeɪn
immigration,移民,ˌɪməˈgreɪʃən
impatient,せっかち,ɪmˈpeɪʃənt
inconvenience,不便,ˌɪnkənˈvinjəns
indirect,間接の,ɪndəˈrɛkt
infer,推量する；ほのめかす；推理する,ɪnˈfɜr
inference,推論,ˈɪnfərəns
informal,非公式,ɪnˈfɔrməl
ink,インク,ɪŋk
innovative,革新的な,ˈɪnəˌveɪtɪv
integral,積分,ˈɪntəgrəl
irritate,刺激,ˈɪrɪˌteɪt
jazz,ジャズ,ʤæz
jewelry,宝石,ˈʤuəlri
keyboard,キーボード,ˈkiˌbɔrd
kit,道具一式；道具入れ；着用する；身に付ける,kɪt
ladder,はしご,ˈlædər
landlord,家主,ˈlænˌdlɔrd
laundry,洗浄すること；洗濯物；洗濯場,ˈlɔndri
leisure,余暇,ˈlɛʒər
likewise,同様に,ˈlaɪˌkwaɪz
lounge,待合室；休憩室；座る；ぶらぶらして過ごす,laʊnʤ
maximize,最大化,ˈmæksəˌmaɪz
meantime,その間に,ˈminˌtaɪm
merchant,商人,ˈmɜrʧənt
merit," 長所, 美点, 価値, 値する",ˈmɛrət
mineral,鉱物；鉱石；無機物；鉱物性の,ˈmɪnərəl
minimize,最小限にする；見くびる；軽視する,ˈmɪnəˌmaɪz
monument,記念碑,ˈmɑnjumənt
necessity,必要性,nəˈsɛsəti
nutrition,栄養,nuˈtrɪʃən
omit,除外する；あえて省く；(to do)しないでおく,oʊˈmɪt
ongoing,現在進行中,ˈɑnˌgoʊɪŋ
opt,選択する；決める,ɑpt
optimistic,楽観的,ˌɑptəˈmɪstɪk
orchestra,オーケストラ,ˈɔrkəstrə
outfit,服,ˈaʊtˌfɪt
outlet,出口,ˈaʊtˌlɛt
outlook,見通し,ˈaʊtˌlʊk
overhead,頭上を；上空を；間接費,ˈoʊvərˌhɛd
overnight,一晩,ˈoʊvərˈnaɪt
oversee,監督,ˈoʊvərˌsi
packet,パケット；パッケージ；包装；袋,ˈpækət
parade,記念行列；行進；行進する；見せびらかす,pəˈreɪd
patent,特許,ˈpætənt
patience,根気,ˈpeɪʃəns
patron,後援者；支援者；常連客,ˈpeɪtrən
petition,嘆願,pəˈtɪʃən
physician,医師,fəˈzɪʃən
physics,物理,ˈfɪzɪks
pill,錠剤；経口避妊薬,pɪl
pillow,枕,ˈpɪloʊ
portfolio,書類入れ；自作の作品集；ポートフォリオ,pɔrtˈfoʊliˌoʊ
poster,ポスター,ˈpoʊstər
postpone,後回し,poʊstˈpoʊn
preliminary,予備的,prɪˈlɪməˌnɛri
premium,保険料；割増料金；賞品；高級な,ˈprimiəm
prescribe,処方する；規定する；時効で無効にする,prəˈskraɪb
prescription,処方,prəˈskrɪpʃən
prestigious,名門,prɛˈstɪʤəs
publicity,宣伝,pəˈblɪsəti
questionnaire,アンケート,ˌkwɛsʧəˈnɛr
rack,棚；台；拷問台；拷問にかける；ひどく苦しむ,ræk
receipt,領収書,rɪˈsit
recipient,受信者,rəˈsɪpiənt
recreation,気晴らし；娯楽；,ˌrɛkriˈeɪʃən
recreational,娯楽[気晴らし]のための,ˌrɛkriˈeɪʃənəl
recur,再発する；繰り返される；回想する,rɪˈkɜr
recycle,再利用する,riˈsaɪkəl
refinery,精錬所,rɪˈfaɪnəri
refresh,爽快な気分にする；新たにする；更新する,rɪˈfrɛʃ
refreshment,軽い飲食物；元気を回復させるもの；気分一新,rəˈfrɛʃmənt
rehearsal,予行演習；準備；繰り返して話すこと,rɪˈhɜrsəl
rehearse,練習する；心の中で思い描く；細かく話す,riˈhɜrs
retrieve,"取り戻す, 回収する, 検索する",rɪˈtriv
rubber,ゴム,ˈrʌbər
rug,敷物；絨毯；膝掛け；かつら,rʌg
satisfactory,満足のいく；納得のいく,ˌsætəˈsfæktri
scholarship,奨学金,ˈskɑlərˌʃɪp
seldom,めったに…ない,ˈsɛldəm
seminar,ゼミ；少人数の演習；研究会；研究科,ˈsɛməˌnɑr
signature,署名,ˈsɪgnəʧər
sincerely,心から,sɪnˈsɪrli
sketch,デッサン；素描；概要；下書きする；概略を書く,skɛʧ
sleeve,袖；たもと,sliv
slot,細長い小穴；時間帯；差し込む；溝穴を掘る,slɑt
soap,石鹸,soʊp
soar,急上昇する；舞い上がる；高まる；そびえ立つ,sɔr
soccer,サッカー,ˈsɑkər
solar,"太陽の, 太陽に関する; 太陽から生じる",ˈsoʊlər
spouse,配偶者,spaʊs
stack,積み重ね；積み重ねる,stæk
stadium,スタジアム,ˈsteɪdiəm
statue,立像,ˈstæˌʧu
steer,操縦する；連れて行く；進む,stɪr
stimulus,刺激,ˈstɪmjələs
stripe,縞,straɪp
subscribe,申し込む,səbˈskraɪb
subscriber,加入者,səbˈskraɪbər
subscription,購読,səbˈskrɪpʃən
suite,ひとつづきの部屋；ひと組；ソフトウェアパッケージ；組曲,swit
superb,見事,sʊˈpɜrb
tag,鬼ごっこ,tæg
telecommunication,遠距離通信；電気通信技術,ˌtɛləkəmˌjunɪˈkeɪʃən
tenant,賃借人；占有者；賃借されている,ˈtɛnənt
terminal,末期の；最終の；発着場；端末；端子,ˈtɜrmənəl
terminate,終わらせる；中絶する；解雇する；暗殺する,ˈtɜrməˌneɪt
termination,終了；中絶；解雇,tərməˈneɪʃən
theft,盗難,θɛft
tile,かわら；工管；タイル張りにする,taɪl
tropical,熱帯の；とても蒸し暑い；比喩の,ˈtrɑpɪkəl
turnover,売上高,ˈtɜrˌnoʊvər
upgrade,アップグレード,əpˈgreɪd
validate,検証,ˈvælədeɪt
vendor,物売り；製造販売会社,ˈvɛndər
venue,会場,ˈvɛnju
verbal,口頭,ˈvɜrbəl
verify,確認,ˈvɛrəˌfaɪ
vitamin,ビタミン,ˈvaɪtəmən
waiter,ウェイター,ˈweɪtər
waitress,ウェートレス,ˈweɪtrəs
ward,区,wɔrd
warehouse,倉庫,ˈwɛrˌhaʊs
whale,鯨,weɪl
accessory,付属品；装身具；補助的な；共犯の,ækˈsɛsəri
aisle,通路,aɪl
allergy,アレルギー,ˈælərʤi
ample," 十分すぎるほどの, 豊富な",ˈæmpəl
appendix,付録,əˈpɛndɪks
appliance,器具,əˈplaɪəns
apprentice,見習い,əˈprɛntəs
arc,円弧；弧を描く；弓状に動く,ɑrk
automate,自動化,ˈɔtəˌmeɪt
badge,記章；象徴；証；記章をつける,bæʤ
balcony,バルコニー,ˈbælkəni
basketball,バスケットボール,ˈbæskətˌbɔl
brochure,パンフレット；小冊子,broʊˈʃʊr
bulletin,会報,ˈbʊlɪtən
candy,あめ；チョコレート菓子；砂糖漬けにする,ˈkændi
charitable,慈善の,ˈʧærətəbəl
circus,サーカス,ˈsɜrkəs
clap,拍手,klæp
comb,"くし, コーム; 梳き道具；くしでとかす",koʊm
compartment,区画,kəmˈpɑrtmənt
compliment,お世辞,ˈkɑmpləmənt
complimentary,無料,ˌkɑmpləˈmɛntəri
congestion,混雑,kənˈʤɛsʧən
consecutive,連続的な,kənˈsɛkjətɪv
cosmetic,"化粧用の, 美容の; 化粧品；ごまかし.",kɑzˈmɛtɪk
crane,起重機；（首・頭）を伸ばす；身を乗り出す,kreɪn
cushion,緩衝材；備え；緩和する；和らげる,ˈkʊʃən
delete,削除,dɪˈlit
dentist,歯科医,ˈdɛntəst
dessert,デザート,dɪˈzɜrt
diagnostic,診断,ˌdaɪəgˈnɑstɪk
discrepancy,不一致,dɪˈskrɛpənsi
dissatisfy,不満を抱かせる；不満にする,dɪˈsætəˌsfaɪ
drastically,"思い切って, 抜本的に.",ˈdræstɪkli
drought,干ばつ,draʊt
duplicate,重複,ˈdupləkət
durable,丈夫な,ˈdʊrəbəl
earthquake,地震,ˈɜrθˌkweɪk
embed,埋め込み,ɪmˈbɛd
erase,消去,ɪˈreɪs
expiration,満了,ˌɛkspəˈreɪʃən
expire,期限が切れる；満了する；亡くなる；息を吐く,ɪkˈspaɪr
factual,事実の,ˈfækʧuəl
farewell,お別れ,ˌfɛrˈwɛl
fasten,留める；締める；固定する；集中する,ˈfæsən
fatigue,倦怠感,fəˈtig
fixture,設備；お決まりのもの；定番,ˈfɪksʧər
flu,インフルエンザ,flu
fluctuate,変動する；波打つ,ˈflʌkʧəˌweɪt
fountain,噴水,ˈfaʊntən
freight,貨物運送,freɪt
freighter,貨物船,ˈfreɪtər
garment,"衣類；覆い;外観,外見；〖be ～ed〗 服を着る,装う.",ˈgɑrmənt
generator,発生器,ˈʤɛnəˌreɪtər
gram,グラム,græm
gum,チューインガム；ゴム；ゴムのりでくっつける；ゴムで覆う,gʌm
gym,体育館；スポーツクラブ；体育,ʤɪm
gymnasium,体育館；屋内競技場；ギムナジウム,ʤɪmˈneɪziəm
hacker,ハッカー,ˈhækər
hamburger,ハンバーガー,ˈhæmbərgər
hike,ハイキング；値上げ；長距離歩く,haɪk
hiker,徒歩旅行者,ˈhaɪkər
imperative,命令,ɪmˈpɛrətɪv
incur,招く；被る；負う,ɪnˈkɜr
intersection,交差点,ˌɪntərˈsɛkʃən
inventory,在庫,ˌɪnvənˈtɔri
jog,ゆっくりと走る；どうにかやっていく；軽く突く,ʤɑg
journalism,新聞雑誌類；報道機関；新聞雑誌の記事,ˈʤɜrnəˌlɪzəm
junk,がらくた；くず；くだらないもの,ʤʌŋk
logo,ロゴ,ˈloʊgoʊ
mall,ショッピングモール；木陰のある散歩道,mɔl
mandatory,必須の,ˈmændəˌtɔri
massage,あんま；刷り込む；改竄する；マッサージする,məˈsɑʒ
medication,薬,ˌmɛdəˈkeɪʃən
memo,連絡票；連絡メモ；メモ用紙,ˈmɛˌmoʊ
messenger,伝言を伝える人；使者；人を使って届ける,ˈmɛsənʤər
microphone,マイクロフォン,ˈmaɪkrəˌfoʊn
microscope,顕微鏡,ˈmaɪkrəˌskoʊp
modem,モデム；変復調装機,ˈmoʊdəm
morale,士気,məˈræl
mosquito,蚊,məˈskitoʊ
noon,正午,nun
notify,知らせる；通知する,ˈnoʊtəˌfaɪ
oval,小判,ˈoʊvəl
overview,概要,ˈoʊvərˌvju
parcel,小包,ˈpɑrsəl
passport,旅券；通行許可証；確実な手段,ˈpæˌspɔrt
pasta,パスタ,ˈpɑstə
pastry,ペストリー,ˈpeɪstri
pedestrian,歩行者,pəˈdɛstriən
pharmaceutical,製薬,ˌfɑrməˈsutɪkəl
picnic,遠足；楽な仕事；屋外で食事をする,ˈpɪkˌnɪk
pizza,ピザ,ˈpitsə
plausible,もっともらしい；口先のうまい；見込みのある,ˈplɔzəbəl
plow,すき；すきで耕す；投資する,plaʊ
plumber,配管工,ˈplʌmər
portable,携帯用の；移動式の,ˈpɔrtəbəl
publicize,公表,ˈpʌblɪˌsaɪz
purse,財布,pɜrs
query,質問,ˈkwiri
referee,審判,ˌrɛfəˈri
remainder,余り,rɪˈmeɪndər
renovate,改修,ˈrɛnəˌveɪt
renovation,更新,ˌrɛnəˈveɪʃən
renown,高名,rɪˈnaʊn
reunion,再会,riˈunjən
salon,店；客間；現代美術展,səˈlɑn
scarf,スカーフ；かけ布；スカーフをつける,skɑrf
serial,連続もの；連続的な；直列の,ˈsɪˌriəl
shuttle,折り返し運転；頻繁に往復する；往復させる,ˈʃʌtəl
signify,示す；意味する；重要である,ˈsɪgnəˌfaɪ
skate,スケートをする；スケート靴,skeɪt
snack,軽食；間食；たやすいこと；軽食をとる,snæk
sofa,ソファー,ˈsoʊfə
spa,鉱泉；温泉；健康センター,spɑ
spectator,観客,ˈspɛkteɪtər
spite,悪意,spaɪt
stereo,ステレオ；立体音響；ステレオの,ˈstɛriˌoʊ
submission,提出,səbˈmɪʃən
surf,寄せる波；サーフィンをする,sɜrf
sweater,セーター；汗をかく人；発汗剤；搾取する雇い主,ˈswɛtər
tablet,錠剤；メモ帳；銘板,ˈtæblət
tailor,洋服屋；仕立て屋；服を仕立てる,ˈteɪlər
technician,技術者；専門家；技巧家,tɛkˈnɪʃən
teen,１０代の；１０代向けの,tin
terrific,ものすごくいい；大変な；恐ろしい,təˈrɪfɪk
tidy,整頓,ˈtaɪdi
toll,通行料金,toʊl
tow,牽引,toʊ
transit,運送；運送機関；通過；横切る,ˈtrænzɪt
umbrella,傘,əmˈbrɛlə
underline,下線,ˈʌndərˌlaɪn
usage,使用法,ˈjusəʤ
vacant,空いている；使われていない；ぼんやりとした,ˈveɪkənt
vacation,休暇,veɪˈkeɪʃən
vacuum,真空,ˈvækjum
vase,花瓶,veɪs
vegetarian,菜食主義者；菜食主義の；野菜だけの,ˌvɛʤəˈtɛriən
violin,バイオリン,vaɪəˈlɪn
visa,ビザ；査証；査証する,ˈvizə
voucher,伝票,ˈvaʊʧər
wallet,財布,ˈwɔlət
wireless,無線,ˈwaɪrlɪs
worthwhile,価値のある；役に立つ,ˈwɜrˈθwaɪl
wrinkle,"しわ,ひだ；しわをつくる；名案",ˈrɪŋkəl
zoo,動物園,zu
abide,遵守,əˈbaɪd
acclaim,称賛,əˈkleɪm
amenity,快適さ,əˈmɛnəti
audition,試演；聴力；聴取；オーディションを受ける,ɑˈdɪʃən
banquet,晩餐会；大宴会；晩餐会を催す；御馳走を食べる,ˈbæŋkwət
barbecue,バーベキュー,ˈbɑrbɪˌkju
beforehand,予め,bɪˈfɔrˌhænd
blueprint,設計図,ˈbluˌprɪnt
booth,小さく仕切られた部屋；展示スペース,buθ
briefcase,書類かばん,ˈbrifˌkeɪs
browse,ブラウザ；拾い読みをする人,braʊz
buffet,激しく揺さぶる；翻弄する；簡易食堂；セルフサービスの食事,ˈbʌfət
carpenter,大工；木工職人；大工仕事でつくる,ˈkɑrpəntər
cartridge,交換用容器；弾薬筒；実包,ˈkɑrtrəʤ
closet,戸棚；収納室；秘密の；部屋に閉じ込める,ˈklɑzət
contraction,収縮,kənˈtrækʃən
coupon,割引券；申し込み用紙；回数券,ˈkuˌpɔn
cumulative,累積的な,ˈkjumjələtɪv
demolish,取り壊す；くつがえす；食い尽くす,dɪˈmɑlɪʃ
dental,歯科用,ˈdɛntəl
diploma,卒業証書；免許証；課程；公文書,dɪˈploʊmə
disconnect,遮断する；接続を切る；関係を切る；相違,dɪskəˈnɛkt
drawback,"不利な点, 欠点；障害, 故障；払い戻し金",ˈdrɔˌbæk
euro,ユーロ,ˈjuroʊ
excursion,修学旅行,ɪkˈskɜrʒən
firefighter,消防士,ˈfaɪrˌfaɪtər
firework,花火,ˈfaɪrˌwɜrk
fluent,流暢,ˈfluənt
folder,フォルダ；書類ばさみ,ˈfoʊldər
freelance,フリーランサー；自由契約の；フリーで働く,ˈfriˌlæns
garbage,ごみ,ˈgɑrbɪʤ
handbook,手引書；入門書；旅行案内書,ˈhændˌbʊk
hesitant,ためらいがちな,ˈhɛzɪtənt
hospitality,親切なもてなし；厚遇；もてなしの食事,ˌhɑspəˈtæləti
humidity,湿度,hjuˈmɪdəti
hygiene,衛生学; 健康法；衛生(状態)；清潔（に保つこと）,ˈhaɪˌʤin
inclusive,包含的,ɪnˈklusɪv
induction,誘導,ɪnˈdʌkʃən
informative,有益,ɪnˈfɔrmətɪv
intern,抑留する；研修生；インターンとして勤務する,ˈɪntɜrn
internship,インターンの身分[実施期間],ˈɪntərnˌʃɪp
kilogram,キログラム,ˈkɪləˌgræm
liter,リットル,ˈlitər
locker,ロッカー,ˈlɑkər
luggage,荷物,ˈlʌgəʤ
memorandum,連絡票；覚書契約書；定款；報告書,ˌmɛməˈrændəm
mentor,師匠,ˈmɛnˌtɔr
merchandise,商品,ˈmɜrʧənˌdaɪz
mini,極小の；小型の,ˈmɪni
nap,昼寝,næp
necklace,ネックレス,ˈnɛkləs
overcrowd,混雑さ,ˌoʊvərˈkraʊd
pamphlet,パンフレット；小冊子；小論文；論説,ˈpæmflət
pant,あえぐ；喘ぎながら言う；喘ぎ；息切れ；動悸；ズボンの,pænt
payroll,給与計算,ˈpeɪˌroʊl
pharmacist,薬剤師,ˈfɑrməsɪst
pharmacy,薬局,ˈfɑrməsi
preview,試写,ˈpriˌvju
reflexive,反射的,rəˈflɛksɪv
refund,返金；(~ A B)AにBを払い戻す,ˈriˌfʌnd
refundable,返金可能な,rɪˈfʌndəbəl
reimburse,返済する,ˌriɪmˈbɜrs
reimbursement,弁償,ˌriɪmˈbɜrsmənt
sewer,下水道,ˈsuər
skim,すくいとる；すれすれに飛ぶ；ざっと目を通す；不正コピーする；脱脂乳,skɪm
spreadsheet,スプレッドシート；表計算ソフト,ˈsprɛdˌʃit
staple,主食,ˈsteɪpəl
streamline,流線形；流線形にする；能率[合理]化する,ˈstrimˌlaɪn
trash,ごみ；壊す；ボロクソに言う；捨てる,træʃ
tuition,学費,tjuˈɪʃən
tuna,ツナ,ˈtunə
underway,進行中,ˌʌndərˈweɪ
vacancy,欠員,ˈveɪkənsi
waive,放棄する；撤回する；無効にする；見送る,weɪv
warranty,保証,ˈwɔrənti
yen,円,jɛn
auditorium,講堂,ˌɔdəˈtɔriəm
beverage,飲み物,ˈbɛvərɪʤ
broom,帚,brum
carton,カートン,ˈkɑrtən
consignment,託送,kənˈsaɪnmənt
culinary,料理の,ˈkjulɪˌnɛri
customize,カスタマイズする；好みに合わせて変更する,ˈkʌstəˌmaɪz
discontinue,中止する；やめる,dɪskənˈtɪnju
extinguisher,消火器,ɪkˈstɪŋgwɪʃər
foreman,親方；監督；陪審長,ˈfɔrmən
habitual,常習,həˈbɪʧuəl
intonation,抑揚；音調；語調；発声法,ɪntəˈneɪʃən
invoice,請求書,ˈɪnvɔɪs
luncheon,昼食会；午餐会；昼食；軽食,ˈlʌnʧən
misplace,置き間違える；間違って与える；置き忘れる,mɪsˈpleɪs
needy,貧乏な；貧しい人々；愛情に飢えた,ˈnidi
overdue,延滞,ˈoʊvərˈdu
password,パスワード,ˈpæˌswɜrd
penalize,有罪と宣告する；罰する,ˈpɛnəˌlaɪz
personalize,に名を入れる；個々にあったものにする；個人の問題に引き付けて扱う；擬人化する,ˈpɜrsənəˌlaɪz
photocopier,コピー機,ˈfoʊtoʊˌkɑpiər
photocopy,コピー,ˈfoʊtoʊˌkɑpi
proficiency,熟練,prəˈfɪʃənsi
rebate,払い戻し；割引金,ˈriˌbeɪt
redesign,再設計,ˌridɪˈzaɪn
subtract,引く；減じる；控除する；引き算する,səbˈtrækt
subway,地下鉄,ˈsʌˌbweɪ
teller,出納係,ˈtɛlər
vanilla,バニラ,vəˈnɪlə
anew,新たに,əˈnu
apprehensive,心配して；気づかって；恐れて；明敏な；知覚の,ˌæprɪˈhɛnsɪv
attire,服装,əˈtaɪər
automotive,自動車,ˌɔtəˈmoʊtɪv
cafeteria,カフェテリア；学食；社員食堂,ˌkæfəˈtɪriə
cashier,会計係；レジ係；会計監査役；免職になる；捨てる,kæˈʃɪr
cookie,クッキー,ˈkʊki
courier,宅配便,ˈkɜriər
debit,"引き落とし額,借り方;＜金額を＞引き落とす",ˈdɛbɪt
donut,ドーナツ,ˈdoʊˌnʌt
gasoline,ガソリン,ˈgæsəˌlin
hotline,ホットライン（国家首脳間の直通電話）,ˈhɑtˌlaɪn
itinerary,旅程,aɪˈtɪnəˌrɛri
outdated,時代遅れ,ˈaʊtˌdeɪtɪd
paraphrase,言い換え,ˈpɛrəˌfreɪz
projector,映写機；投影機,prəˈʤɛktər
remodel,改造する；リフォームする；模様替えする,riˈmɑdəl
restatement,"言い換え, 言い直し; 再声明.",riˈsteɪtmənt
stationery,文房具,ˈsteɪʃəˌnɛri
stockbroker,株式仲介人,ˈstɑkˌbroʊkər
upcoming,来たる,ˈʌpˌkʌmɪŋ
vacate,退く；辞任する；立ち退く；無効にする,ˈveɪkeɪt
yoga,ヨガ,ˈjoʊgə
considerate,思いやりのある；優しい；(It is ~of A to do )...するとはAは思いやりがある,kənˈsɪdərət
malfunction,故障,mælˈfʌŋkʃən
sauna,サウナ,ˈsɔnə
volleyball,バレーボール,ˈvɑliˌbɔl
brainstorm,突然のひらめき；名案；ブレストする,ˈbreɪnˌstɔrm
condominium,分譲マンション；共同統治,ˌkɑndəˈmɪniəm
deluxe,豪華な；豪華に,dəˈlʌks
escalator,エスカレーター,ˈɛskəˌleɪtər
expedite,緊急,ˈɛkspɪˌdaɪt
hereby,ここに,hɪrˈbaɪ
punctual,時間に正確な；時間通りの,ˈpʌŋkʧuəl
sedan,セダン,səˈdæn
semester,学期,səˈmɛstər
spam,クズメール；多数の人に送りつける,spæm
vend,販売する；売り歩く；売却する,vend
cellphone,携帯電話,ˈsɛlfoʊn
overpay,余計に払う；払いすぎる,ˈoʊvərˌpeɪ
realtor,不動産業者,ˈriəltər
toiletry,洗面化粧品,ˈtɔɪlətri
concierge,接客係；守衛；管理人,ˌkɑnsiˈɛrʒ
overcharge,負荷をかけすぎる；満たす；誇張する；過剰請求；過充電,ˈoʊvərˌʧɑrʤ
outage,停電,ˈaʊtəʤ
paralegal,弁護士補助員,ˌpɛrəˈligəl
purser,事務長（事務だけでなく；乗客サービスも担当する乗務員）,ˈpɜrsər
login,ログインする,login
flextime,自由勤務時間制,ˈflɛkˌstaɪm
sue,訴える,su
airfare,航空運賃,ˈɛrˌfɛr
airplane,飛行機,ˈɛrˌpleɪn
airport,空港,ˈɛrˌpɔrt
backpack,バックパックを背負って旅行する,ˈbækˌpæk
ballroom,宴会場,ˈbɔlˌrum
bathroom,バスルーム,ˈbæˌθrum
birthday,お誕生日,ˈbɜrθˌdeɪ
boardroom,会議室,ˈbɔrˌdrum
bookcase,本棚,ˈbʊkˌkeɪs
bookstore,本屋,ˈbʊkˌstɔr
businessman,ビジネスマン,ˈbɪznəˌsmæn
businessperson,事業者,ˈbɪznəˈspɜrsən
checkout,出る；チェックアウトする；正しいと判明する,ˈʧɛˌkaʊt
cheeseburger,チーズバーガー,ˈʧizbərgər
classmate,同級生,ˈklæˌsmeɪt
cookbook,料理の本,ˈkʊkˌbʊk
countryside,田舎,ˈkʌntriˌsaɪd
daytime,昼間,ˈdeɪˌtaɪm
