BSL Word,Japanese Translate,Pronunciation(IPA),Explanation
downside,（商売などが）下降気味の；下降気味；否定的な側面,ˈdaʊnˌsaɪd,
downturn,低迷,ˈdaʊnˌtɜrn,
downward,下向き,ˈdaʊnwərd,
drain,ドレイン；水を抜く；排出する,dreɪn,
drawback,欠点,ˈdrɔˌbæk,
drift,"漂う,流れる,漂流する；ゆっくり動く；放浪する；いつの間にかなる；漂流（物）；ゆるやかな変化",drɪft,
drill,ドリル,drɪl,
dual,二重の；二つの,ˈduəl,
dub,（as）あだ名をつける；吹き替えをする,dʌb,
duly,正式に,ˈduli,
dump,投げ捨てる,dʌmp,
duplicate,重複,ˈdupləkət,
durable,丈夫な,ˈdʊrəbəl,
duration,期間,ˈdʊˈreɪʃən,
dynamic,動的,daɪˈnæmɪk,
e-book,電子書籍,i-bʊk,
eager,熱心な,ˈigər,
earthquake,地震,ˈɜrθˌkweɪk,
echo,こだま；模倣；共感；反響する；真似る,ˈɛkoʊ,
economically,経済的に,ˌɛkəˈnɑmɪkli,
economist,経済学者；倹約化,ɪˈkɑnəmɪst,
editorial,社説,ˌɛdəˈtɔriəl,
effectiveness,有効性,ɪˈfɛktɪvnəs,
efficiently,効率的に,ɪˈfɪʃəntli,
elaborate,精巧,ɪˈlæbrət,
elastic,弾性のある；柔軟な,ɪˈlæstɪk,
elasticity,弾性,ˌiˌlæˈstɪsəti,
electoral,選挙の,ɪˈlɛktərəl,
electorate,有権者,ɪˈlɛktərət,
electrical,電気の；電気に関する,ɪˈlɛktrɪkəl,
eligible,適格,ˈɛləʤəbəl,
elite,エリート；選ばれた人たち,ɪˈlit,
embed,埋め込み,ɪmˈbɛd,
embody,具現化,ɪmˈbɑdi,
emergence,"発生,出現；台頭；(困難からの)脱却,抜け出すこと",ɪˈmɜrʤəns,
emission,放射,ɪˈmɪʃən,
empirical,実証的,ˌɛmˈpɪrɪkəl,
empower,権限を与える,ɪmˈpaʊər,
empowerment,能力を高めること；権限を与えること,ɪmˈpaʊərmənt,
enact,制定,ɪˈnækt,
encompass,包含する,ɛnˈkʌmpəs,
encyclopedia,百科事典,ɪnˌsaɪkləˈpidiə,
endless,終わりのない；果てしない；絶え間ない,ˈɛndləs,
endorse,"支持する,承認する；ほめる,推奨する；署名する；を裏書き[保証]する.",ɛnˈdɔrs,
endorsement,裏書,ɛnˈdɔrsmənt,
endowment,寄付,ɛnˈdaʊmənt,
endure,耐える,ɛnˈdjʊr,
enforce,執行する；強制する,ɛnˈfɔrs,
enforceable,強制力,ɛnˈfɔrsəbəl,
enforcement,執行,ɛnˈfɔrsmənt,
engagement,婚約；約束,ɛnˈgeɪʤmənt,
enhancement,改良；増進,ɛnˈhænsmənt,
enlarge,拡大する；大きくする；引き伸ばす,ɛnˈlɑrʤ,
enlargement,拡大；引き伸ばし；大きくすること；引き伸ばし写真,ɪnˈlɑrʤmənt,
enrich,肥沃にする；豊かにする,ɛnˈrɪʧ,
entail,伴う；もたらす,ɛnˈteɪl,
enthusiasm,熱意,ɪnˈθuziˌæzəm,
enthusiastic,熱心な,ɪnˌθuziˈæstɪk,
entity,実在物；実体；存在,ˈɛntəti,
entrant,参加者；受験者；新しく入った人；新人；新入生,ˈɛntrənt,
entrepreneur,起業家；興行主,ˌɑntrəprəˈnɜr,
entrepreneurial,起業家の,ˌɑntrəprəˈnɜriəl,
equality,平等,ɪˈkwɑləti,
equate,等式,ɪˈkweɪt,
equilibrium,平衡,ˌikwəˈlɪbriəm,
equip,"備え付ける, 装備する",ɪˈkwɪp,
equity,株式,ˈɛkwəti,
erode,侵食する；腐食させる；徐々に失わせる,ɪˈroʊd,
essence,本質；もっとも重要なところ；真髄；根本,ˈɛsəns,
essentially,本来,ɪˈsɛnʃəli,
estimation,推定,ˌɛstəˈmeɪʃən,
ethanol,エタノール,ˈɛθəˌnɔl,
ethical,倫理的な,ˈɛθɪkəl,
ethics,倫理,ˈɛθɪks,
euro,ユーロ,ˈjuroʊ,
eventual,最終的な,əˈvɛnʧuəl,
evident,明らか,ˈɛvədənt,
ex,...がない；...渡しで；前の；外へ；完全に,ɛks,
exaggerate,誇張する,ɪgˈzæʤəˌreɪt,
excellence,優秀,ˈɛksələns,
exceptional,"卓越した,優秀な；例外的な,特別な,異常な；特別支援教育が必要な.",ɪkˈsɛpʃənəl,
excessive,過大,ɪkˈsɛsɪv,
exclusion,除外,ɪkˈskluʒən,
exclusive,排他的,ɪkˈsklusɪv,
exclusively,排他的に,ɪkˈsklusɪvli,
execute,実行,ˈɛksəˌkjut,
execution,実行,ˌɛksəˈkjuʃən,
exempt,免除する,ɪgˈzɛmpt,
exemption,免除,ɪgˈzɛmpʃən,
exert,発揮,ɪgˈzɜrt,
exile,亡命,ˈɛgˌzaɪl,
exit,出口,ˈɛgzɪt,
expectancy,期待,ɪkˈspɛktənsi,
expertise,熟練,ˌɛkspərˈtiz,
expiration,満了,ˌɛkspəˈreɪʃən,
expire,期限切れ,ɪkˈspaɪr,
explicit,明示的な,ɪkˈsplɪsət,
explicitly,明示的,ɪkˈsplɪsətli,
explode,爆発する；急増する,ɪkˈsploʊd,
exploit,つけこむ；不当に利用する；勇敢な行為,ˈɛkˌsplɔɪt,
exploration,探検,ˌɛkspləˈreɪʃən,
explosion,爆発,ɪkˈsploʊʒən,
explosive,爆発的,ɪkˈsploʊsɪv,
exporter,輸出,ɪkˈspɔrtər,
externality,外部性,externality,
extremist,過激派,ɛkˈstrimɪst,
facilitate,促進する,fəˈsɪləˌteɪt,
faction,派閥；対立グループ；少数派；派閥争い；内紛；ドキュメンタリー番組,ˈfækʃən,
faculty,学部,ˈfækəlti,
fairness,公正,ˈfɛrnəs,
fare,運賃,fɛr,
fate,運命,feɪt,
favorable,好ましい,ˈfeɪvərəbəl,
fax,ファックス,fæks,
feasible,可能,ˈfizəbəl,
feedback,フィードバック,ˈfidˌbæk,
fiber,繊維；食物繊維；糸；ファイバー,ˈfaɪbər,
fiduciary,受託,fəˈduʃiˌɛri,
fierce,"激しい；荒れ狂う,激高した；凶暴な；ひどい；すばらしい",fɪrs,
fighter,戦士,ˈfaɪtər,
financially,財政,fəˈnænʃəli,
fiscal,年度,ˈfɪskəl,
flavor,味,ˈfleɪvər,
flaw,欠点,flɔ,
flee,逃げる,fli,
fleet,艦隊,flit,
flexibility,柔軟性,ˌflɛksəˈbɪləti,
flotation,浮選,floʊˈteɪʃən,
flourish,活躍する；栄える；はびこる；見せびらかす；振り回す,ˈflərɪʃ,
fluctuate,変動する,ˈflʌkʧəˌweɪt,
fluctuation,変動,ˌflʌkʧuˈeɪʃən,
follower,信者；追随者；ファン；フォロワー,ˈfɑloʊər,
forbid,禁じる,fərˈbɪd,
forecaster,予報士,ˈfɔrˌkæstər,
foreigner,外国人,ˈfɔrənər,
forge,築く；偽造する,fɔrʤ,
formally,正式に,ˈfɔrməli,
formerly,先に,ˈfɔrmərli,
formulate,策定,ˈfɔrmjəˌleɪt,
formulation,"策定, 案出; 公式化, 体系化；明確な表現；調合,成分；薬剤",ˌfɔrmjəˈleɪʃən,
forthcoming,来たる,ˈfɔrθˈkʌmɪŋ,
forum,フォーラム；公開討論会,ˈfɔrəm,
foster,育む；促進する；心に抱く,ˈfɑstər,
founder,創業者,ˈfaʊndər,
fraction,分数,ˈfrækʃən,
fragile,脆い；壊れやすい；脆弱な；虚弱な,ˈfræʤəl,
franc,フラン,fræŋk,
franchise,特権；営業販売権；選手権；参政権,ˈfrænˌʧaɪz,
fraud,詐欺,frɔd,
fraudulent,詐欺の,ˈfrɔʤələnt,
freely,自由に,ˈfrili,
freight,貨物運送,freɪt,
fret,くよくよする；すり減る,frɛt,
fringe,前髪；ふさ飾り；少数派；周辺,frɪnʤ,
frontier,国境；辺境；フロンティア,frənˈtɪr,
frustrate,いらいらさせる；欲求不満にさせる,ˈfrʌˌstreɪt,
frustration,欲求不満,frəˈstreɪʃən,
furnish,備え付ける；用意する,ˈfɜrnɪʃ,
gallon,ガロン；(~s of A)多量のA,ˈgælən,
gamble,賭け,ˈgæmbəl,
gang,集団；ギャング；集まる；集団で襲う,gæŋ,
gauge,ゲージ；計器；規格,geɪʤ,
generalize,一般化,ˈʤɛnərəˌlaɪz,
generator,発生器,ˈʤɛnəˌreɪtər,
generic,属の；一般的な；商標登録されていない,ʤəˈnɛrɪk,
generous,寛容な,ˈʤɛnərəs,
genocide,大虐殺,ˈʤɛnəˌsaɪd,
genuinely,純粋に,ˈʤɛnjəwənli,
geographic,地理的な；地勢の；地理学上の,ˌʤiəˈgræfɪk,
geographical,地理的,ˌʤiəˈgræfɪkəl,
geography,地理学；地理；地形；間取り,ʤiˈɑgrəfi,
globalization,グローバル化,ˌgloʊbəlɪˈzeɪʃən,
globally,世界的に；世界規模で,ˈgloʊbəli,
globe,地球儀；地球,gloʊb,
gloomy,悲観的,ˈglumi,
goods,品,gʊdz,
goodwill,善意,ˈgʊˈdwɪl,
governance,ガバナンス；統治；運営,ˈgʌvərnəns,
governmental,政府の,ˈgʌvərˌmɛntəl,
graph,グラフ,græf,
graphics,作画；画像処理；挿絵,ˈgræfɪks,
grasp,把握,græsp,
grave,墓,greɪv,
greenhouse,温室,ˈgrinˌhaʊs,
grid,格子；マス目,grɪd,
grim,厳しい；残酷な；不快な,grɪm,
grip,握ること；支配力；影響力,grɪp,
grocery,食料品,ˈgroʊsəri,
gross,キモい,groʊs,
guerrilla,ゲリラ,gəˈrɪlə,
guidance,ガイダンス；案内；指導,ˈgaɪdəns,
halt,止まる,hɔlt,
handful,一握り,ˈhændˌfʊl,
handset,受話器,ˈhændˌsɛt,
hardware,ハードウェア,ˈhɑrˌdwɛr,
harsh,厳しい；過酷な；ひどくけなす,hɑrʃ,
harvest,収穫,ˈhɑrvəst,
haul,"引っぱる；引きずる；運ぶ；盗品,違法品； (移動)距離；大量得点；一網分の漁獲量；引っぱること",hɔl,
hazard,危険,ˈhæzərd,
headline,見出し,ˈhɛˌdlaɪn,
headquarter,本社,ˈhɛdˌkwɔrtər,
healthcare,健康管理,ˈhɛlθˌkɛr,
hedge,生垣；防衛手段；境界線,hɛʤ,
heir,後継者,ɛr,
helicopter,ヘリコプター,ˈhɛlɪˌkɑptər,
hierarchy,階層,ˈhaɪəˌrɑrki,
highway,高速道路,ˈhaɪˌweɪ,
histogram,ヒストグラム；柱状図；度数分布図,ˈhɪstəˌgræm,
historically,歴史上,hɪˈstɔrɪkəli,
hitherto,これまで,ˈhɪˌðɜrˈtu,
homeowner,家主,ˈhoʊˌmoʊnər,
horizon,地平線,həˈraɪzən,
horizontal,水平な,ˌhɔrəˈzɑntəl,
horror,恐怖；うろたえ,ˈhɔrər,
hostile,敵の；敵意のある；不利な,ˈhɑstəl,
hostility,敵意,hɑˈstɪləti,
hub,中心；中核；中枢；集線装置,hʌb,
hugely,非常に,ˈhjuʤli,
hungry,空腹の,ˈhʌŋgri,
hurdle,障害；困難；ハードル,ˈhɜrdəl,
hybrid,交配種；ハイブリッド,ˈhaɪbrəd,
hydrogen,水素,ˈhaɪdrəʤən,
hypothetical,仮定の,ˌhaɪpəˈθɛtəkəl,
icon,アイコン；像,ˈaɪkɑn,
ideally,理想的には；,aɪˈdili,
identical,同じ,aɪˈdɛntɪkəl,
identification,識別,aɪˌdɛntəfəˈkeɪʃən,
ideological,イデオロギー上の,ˌaɪdiəˈlɑʤɪkəl,
ideology,イデオロギー；観念形態,ˌaɪdiˈɑləʤi,
idle,仕事をしていない；動いていない,ˈaɪdəl,
imbalance,不均衡,ɪmˈbæləns,
immigration,移民,ˌɪməˈgreɪʃən,
imminent,差し迫った,ˈɪmənənt,
immune,免疫,ɪmˈjun,
impact,影響,ˈɪmpækt,
impair,弱める；悪くする,ɪmˈpɛr,
impairment,減損,ɪmˈpɛrmənt,
implicit,暗黙,ɪmˈplɪsət,
importantly,重要なこと,ɪmˈpɔrtəntli,
importer,輸入,ɪmˈpɔrtər,
inability,できないこと,ˌɪnəˈbɪlɪti,
inadequate,不十分な,ɪˈnædəkwət,
inappropriate,不適切,ˌɪnəˈproʊpriɪt,
incline,勾配,ɪnˈklaɪn,
inclusion,算入,ɪnˈkluʒən,
incomplete,不完全な,ɪnkəmˈplit,
inconsistent,矛盾,ˌɪnkənˈsɪstənt,
incorporation,取り込み,ɪnˌkɔrpəˈreɪʃən,
incorrect,不正確,ɪnkəˈrɛkt,
incremental,増分,ˌɪnkrəˈmɛntəl,
incumbent,現職,ɪnˈkʌmbənt,
incur,招く；被る；負う,ɪnˈkɜr,
independently,単独で,ˌɪndɪˈpɛndəntli,
indicator,インジケーター；指示する人；表示計器,ˈɪndəˌkeɪtər,
indifference,冷淡,ɪnˈdɪfərəns,
indirect,間接の,ɪndəˈrɛkt,
indirectly,間接的,ɪndəˈrɛktli,
individually,個々に,ˌɪndɪˈvɪʤuəli,
induce,誘発する,ɪnˈdus,
ineffective,"効果のない,無益な；役に立たない",ɪnɪˈfɛktɪv,
inefficiency,無能,ɪnɪˈfɪʃənsi,
inefficient,非効率的な,ɪnɪˈfɪʃənt,
inequality,不平等,ˌɪnɪˈkwɑləti,
inevitable,必然,ɪˈnɛvətəbəl,
inevitably,必然的に,ɪˈnɛvətəbli,
infect,感染,ɪnˈfɛkt,
inference,"(推論による)結論,推論, 推量, 推察, 推測",ˈɪnfərəns,
inflate,ふくらませる；上昇させる,ɪnˈfleɪt,
inflationary,インフレの；インフレを誘発する,ɪnˈfleɪʃəˌnɛri,
inflow,流入,ˈɪnˌfloʊ,
influential,影響力の強い；有力な,ˌɪnfluˈɛnʧəl,
info,情報,ˈɪnfoʊ,
informal,非公式,ɪnˈfɔrməl,
infrastructure,インフラ；社会基盤施設,ˌɪnfrəˈstrʌkʧər,
ingredient,成分,ɪnˈgridiənt,
inherent,固有,ɪnˈhɪrənt,
inherit,"を相続する,受け継ぐ ；のあとを継ぐ；を引き継ぐ",ɪnˈhɛrət,
initiate,始める,ɪˈnɪʃiɪt,
injection,注入,ɪnˈʤɛkʃən,
ink,インク,ɪŋk,
innovative,革新的な,ˈɪnəˌveɪtɪv,
insert,挿入する；書き入れる,ɪnˈsɜrt,
insider,内情に通じた人；内部の人間；会員,ɪnˈsaɪdər,
inspect,調べる；検査する；検閲する,ɪnˈspɛkt,
inspection,検査,ɪnˈspɛkʃən,
inspector,調査官；検査官；警視正,ɪnˈspɛktər,
instability,不安定,ˌɪnstəˈbɪlɪti,
installation,設置,ˌɪnstəˈleɪʃən,
installment,(分割払いの)1回分の支払い；(連載記事･小説などの)1回分,ɪnˈstɔlmənt,
instant,インスタント；即座の；即席の；瞬間,ˈɪnstənt,
instinct,本能,ˈɪnstɪŋkt,
institute,学院,ˈɪnstəˌtut,
instruct,指示を与える；命じる；教える；知らせを受ける,ɪnˈstrʌkt,
instructor,指導者；先生；専任講師,ɪnˈstrʌktər,
insufficient,不十分,ɪnsəˈfɪʃənt,
insurer,保険会社,ɪnˈʃʊrər,
insurgency,反乱,ɪnˈsɜrʤənsi,
insurgent,暴徒,ɪnˈsɜrʤənt,
intangible,無形,ɪnˈtænʤəbəl,
integral,積分,ˈɪntəgrəl,
integration,統合,ˌɪntəˈgreɪʃən,
integrity,整合性,ɪnˈtɛgrəti,
intelligent,知的な,ɪnˈtɛləʤənt,
intensify,激化,ɪnˈtɛnsəˌfaɪ,
intensity,強烈さ；激しさ；熱心さ；強度,ɪnˈtɛnsəti,
intensive,集中的な,ɪnˈtɛnsɪv,
intent,意図,ɪnˈtɛnt,
inter,インター；...間の；相互の,ɪnˈtɜr,
interact,相互作用する,ˌɪntəˈrækt,
interactive,対話,ˌɪntəˈræktɪv,
intercept,途中で奪う；傍受する；迎撃する,ˌɪntərˈsɛpt,
interface,インターフェース；境界面；接面,ˈɪntərˌfeɪs,
interfere,干渉する,ˌɪntərˈfɪr,
interference,干渉,ˌɪntərˈfɪrəns,
interim,中間の；仮の；一時的な；暫定的な；合間；暫定,ˈɪntərəm,
intermediary,媒介,ˌɪnərˈmidiɛri,
intermediate,中間体,ˌɪntərˈmidiɪt,
internally,内部,ɪnˈtɜrnəli,
internationally,国際,ˌɪntərˈnæʃənəli,
internet,インターネット,ˈɪntərˌnɛt,
interval,間隔,ˈɪntərvəl,
intervene,介入,ˌɪntərˈvin,
intrigue,陰謀,ɪnˈtrig,
intrinsic,内在的,ɪnˈtrɪnsɪk,
invade,侵入する,ɪnˈveɪd,
invasion,侵入,ɪnˈveɪʒən,
invention,発明,ɪnˈvɛnʃən,
inventory,在庫,ˌɪnvənˈtɔri,
investigator,求道者,ɪnˈvɛstəˌgeɪtər,
invoice,請求書,ˈɪnvɔɪs,
irrelevant,無関係,ɪˈrɛləvənt,
isolation,隔離,ˌaɪsəˈleɪʃən,
issuance,発行,ˈɪʃuəns,
issuer,発行者,ˈɪʃuər,
jet,ジェット機；噴出；噴出する,ʤɛt,
jointly,"共同で,合同で;連合して,連帯的に",ˈʤɔɪntli,
judicial,裁判上,ʤuˈdɪʃəl,
junior,後輩の；経験が浅い；子供の,ˈʤunjər,
junk,がらくた；くず；くだらないもの,ʤʌŋk,
jurisdiction,管轄,ˌʤʊrəsˈdɪkʃən,
justification,正当化,ˌʤʌstəfəˈkeɪʃən,
kidnap,誘拐犯,ˈkɪdˌnæp,
killer,殺人犯；とても難しいもの；とても魅力的な人,ˈkɪlər,
lab,実験室；試験所；研究所,læb,
lag,遅れ,læg,
landlord,家主,ˈlænˌdlɔrd,
laptop,ノートパソコン,ˈlæpˌtɑp,
laser,レーザー；レーザー装置,ˈleɪzər,
lately,近頃,ˈleɪtli,
launder,〈金〉を洗浄する；を洗濯する; を洗ってアイロンをかける；洗える,ˈlɔndər,
lawsuit,訴訟,ˈlɔˌsut,
layout,レイアウト；設計,ˈleɪˌaʊt,
leak,漏れる；漏らす；穴；ひび割れ,lik,
lease,賃貸借契約；リース,lis,
ledger,元帳,ˈlɛʤər,
legacy,伝承のもの；遺産；レガシー,ˈlɛgəsi,
legally,合法的に,ˈligəli,
legislative,立法,ˈlɛʤəˌsleɪtɪv,
legislature,議会,ˈlɛʤəˌsleɪʧər,
legitimacy,正当性,ləˈʤɪtəməsi,
legitimate,正当,ləˈʤɪtəmət,
leisure,余暇,ˈlɛʒər,
lender,貸し手,ˈlɛndər,
lessee,賃借人,lɛˈsi,
lesser,より小さい；より劣る；重要でない方,ˈlɛsər,
lessor,賃貸人,ˈlɛsər,
leverage,影響力；支配力；てこの力；レバレッジ,ˈlɛvərɪʤ,
levy,徴収,ˈlɛvi,
liable,しがちだ；責任がある,ˈlaɪəbəl,（be liable to do）は；likelyと異なり；好ましくないときに使う
liberalization,自由化,ˌlɪbərəlɪˈzeɪʃən,
liberalize,緩和する；自由化する；広くする；寛大になる,ˈlɪbərəˌlaɪz,
liberty,自由,ˈlɪbərti,
lifestyle,生活様式；暮らしぶり；ライフスタイル,ˈlaɪfˌstaɪl,
lifetime,一生,ˈlaɪfˌtaɪm,
likelihood,可能性,ˈlaɪkliˌhʊd,
likewise,同様に,ˈlaɪˌkwaɪz,
linear,線形,ˈlɪniər,
liquidate,清算する,ˈlɪkwɪˌdeɪt,
liquidation,清算,ˌlɪkwɪˈdeɪʃən,
liquidity,流動性,lɪˈkwɪdəti,
liter,リットル,ˈlitər,
litigation,訴訟,ˌlɪtəˈgeɪʃən,
lobby,ホール；ロビー；政治的圧力団体,ˈlɑbi,
locally,地元で；この近くで,ˈloʊkəli,
logical,論理的,ˈlɑʤɪkəl,
logistics,ロジスティックス；物流；兵站学,ləˈʤɪstɪks,
logo,ロゴ,ˈloʊgoʊ,
loom,織機,lum,
loop,輪；取っ手；輪にする；繰り返し流す,lup,
loser,敗者,ˈluzər,
loyal,忠誠な；忠誠心のある；誠実な；熱心な,ˈlɔɪəl,
loyalty,誠実さ；忠誠；友愛；義務感,ˈlɔɪəlti,
lucrative,"利益が得られる,もうかる",ˈlukrətɪv,
lump,塊,lʌmp,
lure,誘惑する；誘い込む；誘い出す；誘惑,lʊr,
machinery,"(特に大きな)機械(類)；作動部；機構,機関,体制；勢力,分子；方策,手順",məˈʃinəri,
macro,大きい,ˈmækroʊ,
macroeconomic,マクロ経済,ˌmækroʊɛkəˈnɑmɪk,
macroeconomics,マクロ経済学,ˌmækroʊɛkəˈnɑmɪks,
magnetic,磁気,mægˈnɛtɪk,
magnitude,マグニチュード,ˈmægnəˌtud,
mainland,本土,ˈmeɪnˌlænd,
mainstream,主流,ˈmeɪnˌstrim,
mall,ショッピングモール；木陰のある散歩道,mɔl,
managerial,経営者の,ˌmænɪˈʤɪriəl,
mandate,委任,ˈmænˌdeɪt,
mandatory,必須の,ˈmændəˌtɔri,
maneuver,機動,məˈnuvər,
manipulate,操る；操作する；改竄する,məˈnɪpjəˌleɪt,
manipulation,操作,məˌnɪpjəˈleɪʃən,
manual,手動の；手引書；マニュアル,ˈmænjuəl,
mar,擦り傷,mɑr,
marginal,ごくわずかな；ささいな；限界の,ˈmɑrʤənəl,
marketable,市場性,ˈmɑrkətəbəl,
marketer,マーケティング担当者,ˈmɑrkətər,
marketplace,市場,ˈmɑrkətˌpleɪs,
materially,実質,məˈtɪriəli,
mathematical,数学の,ˌmæθəˈmætɪkəl,
matrix,マトリックス；配列；細胞間質；基盤,ˈmeɪtrɪks,
maturity,成熟,məˈʧʊrəti,
maximization,最大化,ˌmæksɪmɪˈzeɪʃən,
maximize,最大化する,ˈmæksəˌmaɪz,
meaningful,重要,ˈminɪŋfəl,
meantime,その間に,ˈminˌtaɪm,
mechanical,機械的,məˈkænɪkəl,
media,メディア,ˈmidiə,
median,中央値,ˈmidiən,
memo,連絡票；連絡メモ；メモ用紙,ˈmɛˌmoʊ,
memorandum,連絡票；覚書契約書；定款；報告書,ˌmɛməˈrændəm,
mentor,師匠,ˈmɛnˌtɔr,
merchandise,商品,ˈmɜrʧənˌdaɪz,
merchant,商人,ˈmɜrʧənt,
merge,合併する；一つになる；同化する,mɜrʤ,
merger,合併,ˈmɜrʤər,
merit,値する,ˈmɛrət,
methodology,方法論,ˌmɛθəˈdɑləʤi,
metric,メートル法の,ˈmɛtrɪk,
micro,小；微小；100万分の１,ˈmaɪˌkroʊ,
mid,中央の；中部の,mɪd,
migrant,移民,ˈmaɪgrənt,
migration,移動,maɪˈgreɪʃən,
mild,軽い；ちょっとした；穏やかな,maɪld,
milestone,重要な出来事；標石；マイルストーン,ˈmaɪlˌstoʊn,
militant,好戦的な,ˈmɪlətənt,
militia,民兵,məˈlɪʃə,
mill,"製粉場；工場；製粉機,ひきうす；粉砕器；製粉する；粉砕する",mɪl,
mineral,鉱物；鉱石；無機物,ˈmɪnərəl,
mini,極小の；小型の,ˈmɪni,
minimal,最小の,ˈmɪnəməl,
minimize,最小限にする；見くびる；軽視する,ˈmɪnəˌmaɪz,
ministry,省,ˈmɪnəstri,
minus,マイナス,ˈmaɪnəs,
mislead,誤解,mɪsˈlid,
missile,ミサイル,ˈmɪsəl,
mister,さん；だんな；あんた,ˈmɪstər,
misunderstand,誤解,ˌmɪsəndərˈstænd,
mitigate,"を和らげる,静める,緩和する；〈刑罰など〉を軽減する",ˈmɪtəˌgeɪt,
mobility,可動性,moʊˈbɪləti,
modest,控えめ,ˈmɑdəst,
modification,変形,ˌmɑdəfəˈkeɪʃən,
mold,"型；型に入れて作ったもの；性格, 性質；型に入れて作る；形作る；ぴったり合わせる",moʊld,
molecule,分子,ˈmɑləˌkjul,
momentum,弾み,moʊˈmɛntəm,
monetary,金銭的な,ˈmɑnəˌtɛri,
monopolist,独占企業,məˈnɑpələst,
monopoly,独占,məˈnɑpəli,
morale,士気,məˈræl,
mosque,モスク,mɑsk,
motive,動かす,ˈmoʊtɪv,
multi,マルチ；多数；多数倍の,ˈmʌlti,
multinational,多国籍,ˌmʌlˌtaɪˈnæʃənəl,
multiplier,乗数,ˈmʌltəˌplaɪər,
multiply,を(大幅に)増やす；を掛ける；繁殖させる；（副）多くの要素から成って；多くの方法[点]で,ˈmʌltəˌplaɪ, 〖～ A by B/A and B〗 A〈数など〉にB〈数など〉を掛ける
municipal,市立,mjuˈnɪsəpəl,
mutually,互いに,ˈmjuʧuəli,
myth,神話,mɪθ,
namely,つまり,ˈneɪmli,
nasty,不快な,ˈnæsti,
nationalism,ナショナリズム；国家主義；国粋主義,ˈnæʃənəˌlɪzəm,
nationalist,民族主義者,ˈnæʃənələst,
nationalize,国有化する,ˈnæʃənəˌlaɪz,
nationwide,全国の,ˈneɪʃənˈwaɪd,
necessity,必要性,nəˈsɛsəti,
negligence,怠慢,ˈnɛgləʤəns,
negotiable,交渉の余地のある；面談の上の；通過できる,nəˈgoʊʃəbəl,
negotiator,交渉人；譲渡者,nəˈgoʊʃiˌeɪtər,
neo,ネオ；新しい；近代の；復活した,ˈnioʊ,
neutral,中性,ˈnutrəl,
newcomer,新しく来た人；新たに出現したもの,ˈnuˌkʌmər,
newsletter,公報；社報；会報,ˈnuˌzlɛtər,
niche,適所；すきま市場；壁龕,nɪʧ,
node,ノード；結び目；節点；交点；節,noʊd,
nominal,名目,ˈnɑmənəl,
nominate,推薦する；任命する,ˈnɑmənət,
nomination,指名,ˌnɑməˈneɪʃən,
non,ノン；非；無,nɑn,
nonetheless,それにもかかわらず,ˌnʌnðəˈlɛs,
norm,規範,nɔrm,
notable,"注目に値する, 興味を引く；著名な,重要な,優秀な；著名人,名士,重要人物",ˈnoʊtəbəl,
notably,とりわけ,ˈnoʊtəbli,
notify,知らせる；通知する,ˈnoʊtəˌfaɪ,
null,法的効力のない；無効な；存在しない；空の,nʌl,
numerical,数の,nuˈmɛrəkəl,
obituary,死亡記事,oʊˈbɪʧuˌɛri,
objection,異議,əbˈʤɛkʃən,
oblige,強制される；義務付けられている；喜ばせる,əˈblaɪʤ,
obscure,不明,əbˈskjʊr,
observer,観察者,əbˈzɜrvər,
obstacle,障害,ˈɑbstəkəl,
obtain,入手する；獲得する；得させる,əbˈteɪn,
occasional,偶発的,əˈkeɪʒənəl,
occupation,職業；仕事；職種,ˌɑkjəˈpeɪʃən,
occurrence,発生,əˈkɜrəns,
odds,可能性；見込み；困難；勝てる度合い；オッズ,ɑdz,
offensive,攻撃,əˈfɛnsɪv,
officially,正式に,əˈfɪʃəli,
offset,埋め合わせする；相殺する；よりよく見せる；（壁面に）段をつくる,ɔfˈsɛt,
offshore,（形）沖合いの；海外に移された；（副）沖合いに；海外で,ˈɔfˈʃɔr,
omit,除外する；あえて省く；(to do)しないでおく,oʊˈmɪt,
ongoing,現在進行中,ˈɑnˌgoʊɪŋ,
openly,公然と,ˈoʊpənli,
operational,操作可能,ˌɑpəˈreɪʃənəl,
operative,手術,ˈɑpərətɪv,
opt,選択する；決める,ɑpt,
optimal,最適な,ˈɑptəməl,
optimism,楽観,ˈɑptəˌmɪzəm,
optimistic,楽観的,ˌɑptəˈmɪstɪk,
optimization,最適化,ɑptəməˈzeɪʃən,
optimize,最適化,ˈɑptəˌmaɪz,
optimum,最適,ˈɑptəməm,
oral,口伝えの；口に関する；経口の,ˈɔrəl,
ordinate,縦,ordinate,
organ,器官,ˈɔrgən,
organizational,"（形）組織[企画]化する；組織的な,構造上の；組織の",ˌɔrgənəˈzeɪʃənəl,
orient,順応する；慣れる；東洋；東方の,ˈɔriənt,
orientation,方針；目的；入門指導；オリエンテーション,ˌɔriɛnˈteɪʃən,
originate,始まる；生じる；起源を発する；最初に行う,əˈrɪʤəˌneɪt,
ounce,オンス,aʊns,
oust,追放する；失脚させる；奪い取る,aʊst,
outbreak,発生,ˈaʊtˌbreɪk,
outfit,服,ˈaʊtˌfɪt,
outflow,流出,ˈaʊtˌfloʊ,
outgoing,"社交的な,(対人関係で)積極的な；引退間際の；発送用の,出発の； (定期的)出費",ˈaʊtˌgoʊɪŋ,
